File Path,Actual Species,Predicted Species,Confidence Score (%),Correct Prediction
/content/test/BUFFLEHEAD/5.jpg,BUFFLEHEAD,BUFFLEHEAD,73.97,True
/content/test/BULWERS PHEASANT/1.jpg,BULWERS PHEASANT,BULWERS PHEASANT,99.94,True
/content/test/BULWERS PHEASANT/2.jpg,BULWERS PHEASANT,BULWERS PHEASANT,99.85,True
/content/test/BULWERS PHEASANT/3.jpg,BULWERS PHEASANT,BULWERS PHEASANT,99.99,True
/content/test/BULWERS PHEASANT/4.jpg,BULWERS PHEASANT,BULWERS PHEASANT,99.4,True
/content/test/BULWERS PHEASANT/5.jpg,BULWERS PHEASANT,BULWERS PHEASANT,100.0,True
/content/test/BURCHELLS COURSER/1.jpg,BURCHELLS COURSER,BURCHELLS COURSER,99.94,True
/content/test/BURCHELLS COURSER/2.jpg,BURCHELLS COURSER,BURCHELLS COURSER,94.31,True
/content/test/BURCHELLS COURSER/3.jpg,BURCHELLS COURSER,BURCHELLS COURSER,99.85,True
/content/test/BURCHELLS COURSER/4.jpg,BURCHELLS COURSER,BURCHELLS COURSER,99.82,True
/content/test/BURCHELLS COURSER/5.jpg,BURCHELLS COURSER,BURCHELLS COURSER,99.23,True
/content/test/BUSH TURKEY/1.jpg,BUSH TURKEY,BUSH TURKEY,99.15,True
/content/test/BUSH TURKEY/2.jpg,BUSH TURKEY,BUSH TURKEY,98.8,True
/content/test/BUSH TURKEY/3.jpg,BUSH TURKEY,BUSH TURKEY,82.21,True
/content/test/BUSH TURKEY/4.jpg,BUSH TURKEY,BUSH TURKEY,99.95,True
/content/test/BUSH TURKEY/5.jpg,BUSH TURKEY,BUSH TURKEY,95.43,True
/content/test/CAATINGA CACHOLOTE/1.jpg,CAATINGA CACHOLOTE,CAATINGA CACHOLOTE,99.57,True
/content/test/CAATINGA CACHOLOTE/2.jpg,CAATINGA CACHOLOTE,CAATINGA CACHOLOTE,27.93,True
/content/test/CAATINGA CACHOLOTE/3.jpg,CAATINGA CACHOLOTE,CAATINGA CACHOLOTE,99.54,True
/content/test/CAATINGA CACHOLOTE/4.jpg,CAATINGA CACHOLOTE,CAATINGA CACHOLOTE,99.9,True
/content/test/CAATINGA CACHOLOTE/5.jpg,CAATINGA CACHOLOTE,CAATINGA CACHOLOTE,91.96,True
/content/test/CABOTS TRAGOPAN/1.jpg,CABOTS TRAGOPAN,CABOTS TRAGOPAN,99.99,True
/content/test/CABOTS TRAGOPAN/2.jpg,CABOTS TRAGOPAN,CABOTS TRAGOPAN,59.5,True
/content/test/CABOTS TRAGOPAN/3.jpg,CABOTS TRAGOPAN,STRIATED CARACARA,21.45,False
/content/test/CABOTS TRAGOPAN/4.jpg,CABOTS TRAGOPAN,CABOTS TRAGOPAN,99.91,True
/content/test/CABOTS TRAGOPAN/5.jpg,CABOTS TRAGOPAN,OILBIRD,39.75,False
/content/test/CACTUS WREN/1.jpg,CACTUS WREN,CABOTS TRAGOPAN,50.21,False
/content/test/CACTUS WREN/2.jpg,CACTUS WREN,CACTUS WREN,99.93,True
/content/test/CACTUS WREN/3.jpg,CACTUS WREN,CACTUS WREN,83.84,True
/content/test/CACTUS WREN/4.jpg,CACTUS WREN,CACTUS WREN,95.74,True
/content/test/CACTUS WREN/5.jpg,CACTUS WREN,CACTUS WREN,96.28,True
/content/test/CALIFORNIA CONDOR/1.jpg,CALIFORNIA CONDOR,CALIFORNIA CONDOR,50.48,True
/content/test/CALIFORNIA CONDOR/2.jpg,CALIFORNIA CONDOR,CALIFORNIA CONDOR,73.44,True
/content/test/CALIFORNIA CONDOR/3.jpg,CALIFORNIA CONDOR,CALIFORNIA CONDOR,52.69,True
/content/test/CALIFORNIA CONDOR/4.jpg,CALIFORNIA CONDOR,CALIFORNIA CONDOR,98.46,True
/content/test/CALIFORNIA CONDOR/5.jpg,CALIFORNIA CONDOR,CALIFORNIA CONDOR,89.9,True
/content/test/CALIFORNIA GULL/1.jpg,CALIFORNIA GULL,CALIFORNIA GULL,94.21,True
/content/test/CALIFORNIA GULL/2.jpg,CALIFORNIA GULL,CALIFORNIA GULL,87.57,True
/content/test/CALIFORNIA GULL/3.jpg,CALIFORNIA GULL,CALIFORNIA GULL,99.7,True
/content/test/CALIFORNIA GULL/4.jpg,CALIFORNIA GULL,CALIFORNIA GULL,88.43,True
/content/test/CALIFORNIA GULL/5.jpg,CALIFORNIA GULL,CALIFORNIA GULL,99.75,True
/content/test/CALIFORNIA QUAIL/1.jpg,CALIFORNIA QUAIL,CALIFORNIA QUAIL,94.02,True
/content/test/CALIFORNIA QUAIL/2.jpg,CALIFORNIA QUAIL,CALIFORNIA QUAIL,65.72,True
/content/test/CALIFORNIA QUAIL/3.jpg,CALIFORNIA QUAIL,CALIFORNIA QUAIL,94.28,True
/content/test/CALIFORNIA QUAIL/4.jpg,CALIFORNIA QUAIL,CALIFORNIA QUAIL,99.01,True
/content/test/CALIFORNIA QUAIL/5.jpg,CALIFORNIA QUAIL,CALIFORNIA QUAIL,99.56,True
/content/test/CAMPO FLICKER/1.jpg,CAMPO FLICKER,DARJEELING WOODPECKER,61.46,False
/content/test/CAMPO FLICKER/2.jpg,CAMPO FLICKER,CAMPO FLICKER,98.08,True
/content/test/CAMPO FLICKER/3.jpg,CAMPO FLICKER,CAMPO FLICKER,99.98,True
/content/test/CAMPO FLICKER/4.jpg,CAMPO FLICKER,CAMPO FLICKER,91.51,True
/content/test/CAMPO FLICKER/5.jpg,CAMPO FLICKER,CAMPO FLICKER,99.61,True
/content/test/CANARY/1.jpg,CANARY,CANARY,99.35,True
/content/test/CANARY/2.jpg,CANARY,CANARY,99.21,True
/content/test/CANARY/3.jpg,CANARY,CANARY,84.13,True
/content/test/CANARY/4.jpg,CANARY,CANARY,98.86,True
/content/test/CANARY/5.jpg,CANARY,CANARY,99.8,True
/content/test/CANVASBACK/1.jpg,CANVASBACK,CANVASBACK,62.83,True
/content/test/CANVASBACK/2.jpg,CANVASBACK,CANVASBACK,98.93,True
/content/test/CANVASBACK/3.jpg,CANVASBACK,CANVASBACK,99.7,True
/content/test/CANVASBACK/4.jpg,CANVASBACK,CANVASBACK,99.93,True
/content/test/CANVASBACK/5.jpg,CANVASBACK,IMPERIAL SHAQ,34.81,False
/content/test/CAPE GLOSSY STARLING/1.jpg,CAPE GLOSSY STARLING,CAPE GLOSSY STARLING,94.84,True
/content/test/CAPE GLOSSY STARLING/2.jpg,CAPE GLOSSY STARLING,CAPE GLOSSY STARLING,92.38,True
/content/test/CAPE GLOSSY STARLING/3.jpg,CAPE GLOSSY STARLING,HIMALAYAN MONAL,51.03,False
/content/test/CAPE GLOSSY STARLING/4.jpg,CAPE GLOSSY STARLING,CAPE GLOSSY STARLING,91.29,True
/content/test/CAPE GLOSSY STARLING/5.jpg,CAPE GLOSSY STARLING,CAPE GLOSSY STARLING,51.84,True
/content/test/CAPE LONGCLAW/1.jpg,CAPE LONGCLAW,CAPE LONGCLAW,99.99,True
/content/test/CAPE LONGCLAW/2.jpg,CAPE LONGCLAW,CAPE LONGCLAW,99.95,True
/content/test/CAPE LONGCLAW/3.jpg,CAPE LONGCLAW,CAPE LONGCLAW,98.51,True
/content/test/CAPE LONGCLAW/4.jpg,CAPE LONGCLAW,CAPE LONGCLAW,95.18,True
/content/test/CAPE LONGCLAW/5.jpg,CAPE LONGCLAW,CAPE LONGCLAW,99.95,True
/content/test/CAPE MAY WARBLER/1.jpg,CAPE MAY WARBLER,CAPE MAY WARBLER,67.2,True
/content/test/CAPE MAY WARBLER/2.jpg,CAPE MAY WARBLER,CAPE MAY WARBLER,90.2,True
/content/test/CAPE MAY WARBLER/3.jpg,CAPE MAY WARBLER,CAPE MAY WARBLER,96.97,True
/content/test/CAPE MAY WARBLER/4.jpg,CAPE MAY WARBLER,CAPE MAY WARBLER,80.67,True
/content/test/CAPE MAY WARBLER/5.jpg,CAPE MAY WARBLER,CAPE MAY WARBLER,72.55,True
/content/test/CAPE ROCK THRUSH/1.jpg,CAPE ROCK THRUSH,CAPE ROCK THRUSH,99.28,True
/content/test/CAPE ROCK THRUSH/2.jpg,CAPE ROCK THRUSH,CAPE ROCK THRUSH,99.09,True
/content/test/CAPE ROCK THRUSH/3.jpg,CAPE ROCK THRUSH,CAPE ROCK THRUSH,99.49,True
/content/test/CAPE ROCK THRUSH/4.jpg,CAPE ROCK THRUSH,CAPE ROCK THRUSH,99.37,True
/content/test/CAPE ROCK THRUSH/5.jpg,CAPE ROCK THRUSH,CAPE ROCK THRUSH,99.83,True
/content/test/CAPPED HERON/1.jpg,CAPPED HERON,CAPPED HERON,98.52,True
/content/test/CAPPED HERON/2.jpg,CAPPED HERON,CAPPED HERON,98.72,True
/content/test/CAPPED HERON/3.jpg,CAPPED HERON,CAPPED HERON,99.92,True
/content/test/CAPPED HERON/4.jpg,CAPPED HERON,CAPPED HERON,99.95,True
/content/test/CAPPED HERON/5.jpg,CAPPED HERON,CAPPED HERON,99.32,True
/content/test/CAPUCHINBIRD/1.jpg,CAPUCHINBIRD,CAPUCHINBIRD,99.87,True
/content/test/CAPUCHINBIRD/2.jpg,CAPUCHINBIRD,CAPUCHINBIRD,99.98,True
/content/test/CAPUCHINBIRD/3.jpg,CAPUCHINBIRD,CAPUCHINBIRD,99.87,True
/content/test/CAPUCHINBIRD/4.jpg,CAPUCHINBIRD,CAPUCHINBIRD,99.91,True
/content/test/CAPUCHINBIRD/5.jpg,CAPUCHINBIRD,CAPUCHINBIRD,99.78,True
/content/test/CARMINE BEE-EATER/1.jpg,CARMINE BEE-EATER,CARMINE BEE-EATER,99.8,True
/content/test/CARMINE BEE-EATER/2.jpg,CARMINE BEE-EATER,PINK ROBIN,41.97,False
/content/test/CARMINE BEE-EATER/3.jpg,CARMINE BEE-EATER,CARMINE BEE-EATER,98.9,True
/content/test/CARMINE BEE-EATER/4.jpg,CARMINE BEE-EATER,CARMINE BEE-EATER,99.86,True
/content/test/CARMINE BEE-EATER/5.jpg,CARMINE BEE-EATER,CARMINE BEE-EATER,99.14,True
/content/test/CASPIAN TERN/1.jpg,CASPIAN TERN,CASPIAN TERN,99.28,True
/content/test/CASPIAN TERN/2.jpg,CASPIAN TERN,CASPIAN TERN,99.87,True
/content/test/CASPIAN TERN/3.jpg,CASPIAN TERN,CASPIAN TERN,95.28,True
/content/test/CASPIAN TERN/4.jpg,CASPIAN TERN,CASPIAN TERN,99.63,True
/content/test/CASPIAN TERN/5.jpg,CASPIAN TERN,CASPIAN TERN,99.7,True
/content/test/CASSOWARY/1.jpg,CASSOWARY,CASSOWARY,96.73,True
/content/test/CASSOWARY/2.jpg,CASSOWARY,CASSOWARY,99.97,True
/content/test/CASSOWARY/3.jpg,CASSOWARY,CASSOWARY,99.81,True
/content/test/CASSOWARY/4.jpg,CASSOWARY,CASSOWARY,93.96,True
/content/test/CASSOWARY/5.jpg,CASSOWARY,CASSOWARY,99.99,True
/content/test/CEDAR WAXWING/1.jpg,CEDAR WAXWING,CEDAR WAXWING,99.9,True
/content/test/CEDAR WAXWING/2.jpg,CEDAR WAXWING,CEDAR WAXWING,99.89,True
/content/test/CEDAR WAXWING/3.jpg,CEDAR WAXWING,CEDAR WAXWING,99.97,True
/content/test/CEDAR WAXWING/4.jpg,CEDAR WAXWING,CEDAR WAXWING,99.92,True
/content/test/CEDAR WAXWING/5.jpg,CEDAR WAXWING,CEDAR WAXWING,99.93,True
/content/test/CERULEAN WARBLER/1.jpg,CERULEAN WARBLER,CERULEAN WARBLER,97.68,True
/content/test/CERULEAN WARBLER/2.jpg,CERULEAN WARBLER,CERULEAN WARBLER,74.43,True
/content/test/CERULEAN WARBLER/3.jpg,CERULEAN WARBLER,TREE SWALLOW,73.86,False
/content/test/CERULEAN WARBLER/4.jpg,CERULEAN WARBLER,CERULEAN WARBLER,92.64,True
/content/test/CERULEAN WARBLER/5.jpg,CERULEAN WARBLER,CERULEAN WARBLER,94.08,True
/content/test/CHARA DE COLLAR/1.jpg,CHARA DE COLLAR,CHARA DE COLLAR,92.08,True
/content/test/CHARA DE COLLAR/2.jpg,CHARA DE COLLAR,CHARA DE COLLAR,99.65,True
/content/test/CHARA DE COLLAR/3.jpg,CHARA DE COLLAR,CHARA DE COLLAR,98.3,True
/content/test/CHARA DE COLLAR/4.jpg,CHARA DE COLLAR,CHARA DE COLLAR,92.5,True
/content/test/CHARA DE COLLAR/5.jpg,CHARA DE COLLAR,CHARA DE COLLAR,99.52,True
/content/test/CHATTERING LORY/1.jpg,CHATTERING LORY,CHATTERING LORY,98.65,True
/content/test/CHATTERING LORY/2.jpg,CHATTERING LORY,CHATTERING LORY,99.14,True
/content/test/CHATTERING LORY/3.jpg,CHATTERING LORY,CHATTERING LORY,76.72,True
/content/test/CHATTERING LORY/4.jpg,CHATTERING LORY,CHATTERING LORY,97.98,True
/content/test/CHATTERING LORY/5.jpg,CHATTERING LORY,CHATTERING LORY,95.9,True
/content/test/CHESTNET BELLIED EUPHONIA/1.jpg,CHESTNET BELLIED EUPHONIA,CHESTNET BELLIED EUPHONIA,99.97,True
/content/test/CHESTNET BELLIED EUPHONIA/2.jpg,CHESTNET BELLIED EUPHONIA,CHESTNET BELLIED EUPHONIA,99.3,True
/content/test/CHESTNET BELLIED EUPHONIA/3.jpg,CHESTNET BELLIED EUPHONIA,CHESTNET BELLIED EUPHONIA,99.34,True
/content/test/CHESTNET BELLIED EUPHONIA/4.jpg,CHESTNET BELLIED EUPHONIA,CHESTNET BELLIED EUPHONIA,99.48,True
/content/test/CHESTNET BELLIED EUPHONIA/5.jpg,CHESTNET BELLIED EUPHONIA,CHESTNET BELLIED EUPHONIA,98.8,True
/content/test/CHESTNUT WINGED CUCKOO/1.jpg,CHESTNUT WINGED CUCKOO,CHESTNUT WINGED CUCKOO,99.78,True
/content/test/CHESTNUT WINGED CUCKOO/2.jpg,CHESTNUT WINGED CUCKOO,CHESTNUT WINGED CUCKOO,37.81,True
/content/test/CHESTNUT WINGED CUCKOO/3.jpg,CHESTNUT WINGED CUCKOO,CHESTNUT WINGED CUCKOO,99.55,True
/content/test/CHESTNUT WINGED CUCKOO/4.jpg,CHESTNUT WINGED CUCKOO,CHESTNUT WINGED CUCKOO,83.79,True
/content/test/CHESTNUT WINGED CUCKOO/5.jpg,CHESTNUT WINGED CUCKOO,CHESTNUT WINGED CUCKOO,99.34,True
/content/test/CHINESE BAMBOO PARTRIDGE/1.jpg,CHINESE BAMBOO PARTRIDGE,CHINESE BAMBOO PARTRIDGE,99.99,True
/content/test/CHINESE BAMBOO PARTRIDGE/2.jpg,CHINESE BAMBOO PARTRIDGE,CHINESE BAMBOO PARTRIDGE,93.65,True
/content/test/CHINESE BAMBOO PARTRIDGE/3.jpg,CHINESE BAMBOO PARTRIDGE,CHINESE BAMBOO PARTRIDGE,93.52,True
/content/test/CHINESE BAMBOO PARTRIDGE/4.jpg,CHINESE BAMBOO PARTRIDGE,CHINESE BAMBOO PARTRIDGE,99.74,True
/content/test/CHINESE BAMBOO PARTRIDGE/5.jpg,CHINESE BAMBOO PARTRIDGE,CHINESE BAMBOO PARTRIDGE,97.91,True
/content/test/CHINESE POND HERON/1.jpg,CHINESE POND HERON,CHINESE POND HERON,55.53,True
/content/test/CHINESE POND HERON/2.jpg,CHINESE POND HERON,CHINESE POND HERON,71.07,True
/content/test/CHINESE POND HERON/3.jpg,CHINESE POND HERON,CHINESE POND HERON,62.27,True
/content/test/CHINESE POND HERON/4.jpg,CHINESE POND HERON,CHINESE POND HERON,95.16,True
/content/test/CHINESE POND HERON/5.jpg,CHINESE POND HERON,CHINESE POND HERON,93.69,True
/content/test/CHIPPING SPARROW/1.jpg,CHIPPING SPARROW,CHIPPING SPARROW,99.88,True
/content/test/CHIPPING SPARROW/2.jpg,CHIPPING SPARROW,CHIPPING SPARROW,99.17,True
/content/test/CHIPPING SPARROW/3.jpg,CHIPPING SPARROW,CHIPPING SPARROW,99.72,True
/content/test/CHIPPING SPARROW/4.jpg,CHIPPING SPARROW,CHIPPING SPARROW,27.3,True
/content/test/CHIPPING SPARROW/5.jpg,CHIPPING SPARROW,CHIPPING SPARROW,98.43,True
/content/test/CHUCAO TAPACULO/1.jpg,CHUCAO TAPACULO,CHUCAO TAPACULO,94.84,True
/content/test/CHUCAO TAPACULO/2.jpg,CHUCAO TAPACULO,CHUCAO TAPACULO,97.86,True
/content/test/CHUCAO TAPACULO/3.jpg,CHUCAO TAPACULO,ANTBIRD,49.22,False
/content/test/CHUCAO TAPACULO/4.jpg,CHUCAO TAPACULO,CHUCAO TAPACULO,98.76,True
/content/test/CHUCAO TAPACULO/5.jpg,CHUCAO TAPACULO,CHUCAO TAPACULO,99.87,True
/content/test/CHUKAR PARTRIDGE/1.jpg,CHUKAR PARTRIDGE,CHUKAR PARTRIDGE,99.57,True
/content/test/CHUKAR PARTRIDGE/2.jpg,CHUKAR PARTRIDGE,CHUKAR PARTRIDGE,71.46,True
/content/test/CHUKAR PARTRIDGE/3.jpg,CHUKAR PARTRIDGE,CHUKAR PARTRIDGE,99.72,True
/content/test/CHUKAR PARTRIDGE/4.jpg,CHUKAR PARTRIDGE,CHUKAR PARTRIDGE,99.99,True
/content/test/CHUKAR PARTRIDGE/5.jpg,CHUKAR PARTRIDGE,CHUKAR PARTRIDGE,99.99,True
/content/test/CINNAMON ATTILA/1.jpg,CINNAMON ATTILA,CINNAMON ATTILA,97.35,True
/content/test/CINNAMON ATTILA/2.jpg,CINNAMON ATTILA,CINNAMON ATTILA,99.03,True
/content/test/CINNAMON ATTILA/3.jpg,CINNAMON ATTILA,CINNAMON ATTILA,98.62,True
/content/test/CINNAMON ATTILA/4.jpg,CINNAMON ATTILA,CINNAMON ATTILA,99.84,True
/content/test/CINNAMON ATTILA/5.jpg,CINNAMON ATTILA,CINNAMON ATTILA,73.89,True
/content/test/CINNAMON FLYCATCHER/1.jpg,CINNAMON FLYCATCHER,CINNAMON FLYCATCHER,97.83,True
/content/test/CINNAMON FLYCATCHER/2.jpg,CINNAMON FLYCATCHER,CINNAMON FLYCATCHER,83.92,True
/content/test/CINNAMON FLYCATCHER/3.jpg,CINNAMON FLYCATCHER,CINNAMON FLYCATCHER,97.71,True
/content/test/CINNAMON FLYCATCHER/4.jpg,CINNAMON FLYCATCHER,CINNAMON FLYCATCHER,99.43,True
/content/test/CINNAMON FLYCATCHER/5.jpg,CINNAMON FLYCATCHER,CINNAMON FLYCATCHER,89.2,True
/content/test/CINNAMON TEAL/1.jpg,CINNAMON TEAL,CINNAMON TEAL,99.39,True
/content/test/CINNAMON TEAL/2.jpg,CINNAMON TEAL,CINNAMON TEAL,89.18,True
/content/test/CINNAMON TEAL/3.jpg,CINNAMON TEAL,CINNAMON TEAL,99.8,True
/content/test/CINNAMON TEAL/4.jpg,CINNAMON TEAL,CINNAMON TEAL,98.12,True
/content/test/CINNAMON TEAL/5.jpg,CINNAMON TEAL,CINNAMON TEAL,73.15,True
/content/test/CLARKS GREBE/1.jpg,CLARKS GREBE,CLARKS GREBE,99.99,True
/content/test/CLARKS GREBE/2.jpg,CLARKS GREBE,CLARKS GREBE,91.22,True
/content/test/CLARKS GREBE/3.jpg,CLARKS GREBE,WHITE BREASTED WATERHEN,12.48,False
/content/test/CLARKS GREBE/4.jpg,CLARKS GREBE,CLARKS GREBE,99.98,True
/content/test/CLARKS GREBE/5.jpg,CLARKS GREBE,CLARKS GREBE,48.44,True
/content/test/CLARKS NUTCRACKER/1.jpg,CLARKS NUTCRACKER,CLARKS NUTCRACKER,96.81,True
/content/test/CLARKS NUTCRACKER/2.jpg,CLARKS NUTCRACKER,CLARKS NUTCRACKER,99.48,True
/content/test/CLARKS NUTCRACKER/3.jpg,CLARKS NUTCRACKER,CLARKS NUTCRACKER,99.32,True
/content/test/CLARKS NUTCRACKER/4.jpg,CLARKS NUTCRACKER,CLARKS NUTCRACKER,99.4,True
/content/test/CLARKS NUTCRACKER/5.jpg,CLARKS NUTCRACKER,CLARKS NUTCRACKER,99.95,True
/content/test/COCK OF THE  ROCK/1.jpg,COCK OF THE  ROCK,COCK OF THE  ROCK,93.93,True
/content/test/COCK OF THE  ROCK/2.jpg,COCK OF THE  ROCK,COCK OF THE  ROCK,99.27,True
/content/test/COCK OF THE  ROCK/3.jpg,COCK OF THE  ROCK,COCK OF THE  ROCK,98.81,True
/content/test/COCK OF THE  ROCK/4.jpg,COCK OF THE  ROCK,COCK OF THE  ROCK,99.63,True
/content/test/COCK OF THE  ROCK/5.jpg,COCK OF THE  ROCK,COCK OF THE  ROCK,46.1,True
/content/test/COCKATOO/1.jpg,COCKATOO,COCKATOO,98.55,True
/content/test/COCKATOO/2.jpg,COCKATOO,COCKATOO,99.98,True
/content/test/COCKATOO/3.jpg,COCKATOO,COCKATOO,98.21,True
/content/test/COCKATOO/4.jpg,COCKATOO,COCKATOO,99.8,True
/content/test/COCKATOO/5.jpg,COCKATOO,COCKATOO,99.87,True
/content/test/COLLARED ARACARI/1.jpg,COLLARED ARACARI,COLLARED ARACARI,87.5,True
/content/test/COLLARED ARACARI/2.jpg,COLLARED ARACARI,COLLARED ARACARI,51.19,True
/content/test/COLLARED ARACARI/3.jpg,COLLARED ARACARI,COLLARED ARACARI,88.8,True
/content/test/COLLARED ARACARI/4.jpg,COLLARED ARACARI,COLLARED ARACARI,54.52,True
/content/test/COLLARED ARACARI/5.jpg,COLLARED ARACARI,COLLARED ARACARI,81.8,True
/content/test/COLLARED CRESCENTCHEST/1.jpg,COLLARED CRESCENTCHEST,COLLARED CRESCENTCHEST,99.96,True
/content/test/COLLARED CRESCENTCHEST/2.jpg,COLLARED CRESCENTCHEST,COLLARED CRESCENTCHEST,69.7,True
/content/test/COLLARED CRESCENTCHEST/3.jpg,COLLARED CRESCENTCHEST,COLLARED CRESCENTCHEST,70.01,True
/content/test/COLLARED CRESCENTCHEST/4.jpg,COLLARED CRESCENTCHEST,COLLARED CRESCENTCHEST,96.77,True
/content/test/COLLARED CRESCENTCHEST/5.jpg,COLLARED CRESCENTCHEST,COLLARED CRESCENTCHEST,96.39,True
/content/test/COMMON FIRECREST/1.jpg,COMMON FIRECREST,COMMON FIRECREST,99.6,True
/content/test/COMMON FIRECREST/2.jpg,COMMON FIRECREST,COMMON FIRECREST,91.29,True
/content/test/COMMON FIRECREST/3.jpg,COMMON FIRECREST,COMMON FIRECREST,98.8,True
/content/test/COMMON FIRECREST/4.jpg,COMMON FIRECREST,COMMON FIRECREST,99.24,True
/content/test/COMMON FIRECREST/5.jpg,COMMON FIRECREST,COMMON FIRECREST,96.85,True
/content/test/COMMON GRACKLE/1.jpg,COMMON GRACKLE,COMMON GRACKLE,81.75,True
/content/test/COMMON GRACKLE/2.jpg,COMMON GRACKLE,COMMON GRACKLE,96.15,True
/content/test/COMMON GRACKLE/3.jpg,COMMON GRACKLE,COMMON GRACKLE,82.49,True
/content/test/COMMON GRACKLE/4.jpg,COMMON GRACKLE,COMMON GRACKLE,93.56,True
/content/test/COMMON GRACKLE/5.jpg,COMMON GRACKLE,COMMON GRACKLE,74.72,True
/content/test/COMMON HOUSE MARTIN/1.jpg,COMMON HOUSE MARTIN,COMMON HOUSE MARTIN,76.54,True
/content/test/COMMON HOUSE MARTIN/2.jpg,COMMON HOUSE MARTIN,COMMON HOUSE MARTIN,96.33,True
/content/test/COMMON HOUSE MARTIN/3.jpg,COMMON HOUSE MARTIN,SAND MARTIN,23.64,False
/content/test/COMMON HOUSE MARTIN/4.jpg,COMMON HOUSE MARTIN,COMMON HOUSE MARTIN,70.55,True
/content/test/COMMON HOUSE MARTIN/5.jpg,COMMON HOUSE MARTIN,TREE SWALLOW,54.21,False
/content/test/COMMON IORA/1.jpg,COMMON IORA,COMMON IORA,94.59,True
/content/test/COMMON IORA/2.jpg,COMMON IORA,COMMON IORA,88.36,True
/content/test/COMMON IORA/3.jpg,COMMON IORA,COMMON IORA,63.3,True
/content/test/COMMON IORA/4.jpg,COMMON IORA,COMMON IORA,74.04,True
/content/test/COMMON IORA/5.jpg,COMMON IORA,COMMON IORA,57.85,True
/content/test/COMMON LOON/1.jpg,COMMON LOON,COMMON LOON,99.14,True
/content/test/COMMON LOON/2.jpg,COMMON LOON,WOOD DUCK,62.36,False
/content/test/COMMON LOON/3.jpg,COMMON LOON,COMMON LOON,100.0,True
/content/test/COMMON LOON/4.jpg,COMMON LOON,COMMON LOON,99.97,True
/content/test/COMMON LOON/5.jpg,COMMON LOON,COMMON LOON,100.0,True
/content/test/COMMON POORWILL/1.jpg,COMMON POORWILL,COMMON POORWILL,99.63,True
/content/test/COMMON POORWILL/2.jpg,COMMON POORWILL,COMMON POORWILL,92.27,True
/content/test/COMMON POORWILL/3.jpg,COMMON POORWILL,COMMON POORWILL,99.61,True
/content/test/COMMON POORWILL/4.jpg,COMMON POORWILL,COMMON POORWILL,94.35,True
/content/test/COMMON POORWILL/5.jpg,COMMON POORWILL,COMMON POORWILL,99.96,True
/content/test/COMMON STARLING/1.jpg,COMMON STARLING,COMMON STARLING,100.0,True
/content/test/COMMON STARLING/2.jpg,COMMON STARLING,COMMON STARLING,100.0,True
/content/test/COMMON STARLING/3.jpg,COMMON STARLING,COMMON STARLING,100.0,True
/content/test/COMMON STARLING/4.jpg,COMMON STARLING,COMMON STARLING,99.99,True
/content/test/COMMON STARLING/5.jpg,COMMON STARLING,COMMON STARLING,100.0,True
/content/test/COPPERSMITH BARBET/1.jpg,COPPERSMITH BARBET,COPPERSMITH BARBET,99.84,True
/content/test/COPPERSMITH BARBET/2.jpg,COPPERSMITH BARBET,COPPERSMITH BARBET,60.89,True
/content/test/COPPERSMITH BARBET/3.jpg,COPPERSMITH BARBET,COPPERSMITH BARBET,55.49,True
/content/test/COPPERSMITH BARBET/4.jpg,COPPERSMITH BARBET,COPPERSMITH BARBET,94.59,True
/content/test/COPPERSMITH BARBET/5.jpg,COPPERSMITH BARBET,COPPERSMITH BARBET,97.65,True
/content/test/COPPERY TAILED COUCAL/1.jpg,COPPERY TAILED COUCAL,COPPERY TAILED COUCAL,100.0,True
/content/test/COPPERY TAILED COUCAL/2.jpg,COPPERY TAILED COUCAL,COPPERY TAILED COUCAL,99.97,True
/content/test/COPPERY TAILED COUCAL/3.jpg,COPPERY TAILED COUCAL,COPPERY TAILED COUCAL,99.55,True
/content/test/COPPERY TAILED COUCAL/4.jpg,COPPERY TAILED COUCAL,COPPERY TAILED COUCAL,99.94,True
/content/test/COPPERY TAILED COUCAL/5.jpg,COPPERY TAILED COUCAL,COPPERY TAILED COUCAL,77.66,True
/content/test/CRAB PLOVER/1.jpg,CRAB PLOVER,CRAB PLOVER,97.29,True
/content/test/CRAB PLOVER/2.jpg,CRAB PLOVER,CRAB PLOVER,99.95,True
/content/test/CRAB PLOVER/3.jpg,CRAB PLOVER,CRAB PLOVER,99.86,True
/content/test/CRAB PLOVER/4.jpg,CRAB PLOVER,CRAB PLOVER,99.7,True
/content/test/CRAB PLOVER/5.jpg,CRAB PLOVER,CRAB PLOVER,99.75,True
/content/test/CRANE HAWK/1.jpg,CRANE HAWK,CRANE HAWK,64.02,True
/content/test/CRANE HAWK/2.jpg,CRANE HAWK,CRANE HAWK,99.98,True
/content/test/CRANE HAWK/3.jpg,CRANE HAWK,CRANE HAWK,84.97,True
/content/test/CRANE HAWK/4.jpg,CRANE HAWK,CRANE HAWK,81.94,True
/content/test/CRANE HAWK/5.jpg,CRANE HAWK,CRANE HAWK,68.39,True
/content/test/CREAM COLORED WOODPECKER/1.jpg,CREAM COLORED WOODPECKER,CREAM COLORED WOODPECKER,81.78,True
/content/test/CREAM COLORED WOODPECKER/2.jpg,CREAM COLORED WOODPECKER,CREAM COLORED WOODPECKER,76.5,True
